# file...... house_meter.csv
# date...... Sat May 15 03:01:01 2021
# user...... parallels
# host...... (null)
# target.... triplex_meter 14
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,measured_real_power,measured_voltage_1,measured_current_1
2021-01-07 05:15:00 UTC,+840,+120.026+119.988d,-3.49797+6.06158j
2021-01-07 05:30:00 UTC,+1480,+120.017+119.979d,-6.1619+10.6818j
2021-01-07 05:45:00 UTC,+1440,+120.017+119.98d,-5.99543+10.3929j
2021-01-07 06:00:00 UTC,+880,+120.026+119.988d,-3.6645+6.35029j
2021-01-07 06:15:00 UTC,+3880,+119.981+119.945d,-16.1424+28.0215j
2021-01-07 06:30:00 UTC,+6880,+119.935+119.902d,-28.5974+49.7277j
2021-01-07 06:45:00 UTC,+9040,+119.903+119.872d,-37.5509+65.3777j
2021-01-07 07:00:00 UTC,+4720,+119.968+119.933d,-19.6321+34.0957j
2021-01-07 07:15:00 UTC,+4440,+119.972+119.937d,-18.4691+32.0707j
2021-01-07 07:30:00 UTC,+4560,+119.97+119.935d,-18.9675+32.9385j
2021-01-07 07:45:00 UTC,+6400,+119.943+119.909d,-26.6061+46.2523j
2021-01-07 08:00:00 UTC,+5480,+119.956+119.922d,-22.7879+39.5938j
2021-01-07 08:15:00 UTC,+7680,+119.923+119.891d,-31.9149+55.5219j
2021-01-07 08:30:00 UTC,+6600,+119.94+119.906d,-27.4359+47.7003j
2021-01-07 08:45:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-07 09:00:00 UTC,+3920,+119.98+119.944d,-16.3086+28.3107j
2021-01-07 09:15:00 UTC,+5400,+119.958+119.923d,-22.4558+39.0149j
2021-01-07 09:30:00 UTC,+5840,+119.951+119.917d,-24.2822+42.1989j
2021-01-07 09:45:00 UTC,+4360,+119.973+119.938d,-18.1367+31.4922j
2021-01-07 10:00:00 UTC,+4280,+119.975+119.939d,-17.8044+30.9137j
2021-01-07 10:15:00 UTC,+4160,+119.976+119.941d,-17.3058+30.046j
2021-01-07 10:30:00 UTC,+5480,+119.956+119.922d,-22.7879+39.5938j
2021-01-07 10:45:00 UTC,+4360,+119.973+119.938d,-18.1367+31.4922j
2021-01-07 11:00:00 UTC,+4200,+119.976+119.94d,-17.472+30.3352j
2021-01-07 11:15:00 UTC,+2800,+119.997+119.96d,-11.653+20.2159j
2021-01-07 11:30:00 UTC,+4080,+119.978+119.942d,-16.9734+29.4675j
2021-01-07 11:45:00 UTC,+2680,+119.999+119.962d,-11.154+19.3489j
2021-01-07 12:00:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-07 12:15:00 UTC,+3120,+119.992+119.956d,-12.9835+22.5282j
2021-01-07 12:30:00 UTC,+5000,+119.964+119.929d,-20.7949+36.1211j
2021-01-07 12:45:00 UTC,+2640,+119.999+119.963d,-10.9876+19.0599j
2021-01-07 13:00:00 UTC,+2640,+119.999+119.963d,-10.9876+19.0599j
2021-01-07 13:15:00 UTC,+4000,+119.979+119.943d,-16.641+28.8891j
2021-01-07 13:30:00 UTC,+3720,+119.983+119.947d,-15.4775+26.8649j
2021-01-07 13:45:00 UTC,+2600,+120+119.963d,-10.8213+18.7709j
2021-01-07 14:00:00 UTC,+2800,+119.997+119.96d,-11.653+20.2159j
2021-01-07 14:15:00 UTC,+3560,+119.985+119.95d,-14.8125+25.7083j
2021-01-07 14:30:00 UTC,+3520,+119.986+119.95d,-14.6462+25.4192j
2021-01-07 14:45:00 UTC,+2720,+119.998+119.961d,-11.3203+19.6379j
2021-01-07 15:00:00 UTC,+2800,+119.997+119.96d,-11.653+20.2159j
2021-01-07 15:15:00 UTC,+3800,+119.982+119.946d,-15.8099+27.4432j
2021-01-07 15:30:00 UTC,+4800,+119.967+119.932d,-19.9643+34.6744j
2021-01-07 15:45:00 UTC,+4320,+119.974+119.939d,-17.9705+31.2029j
2021-01-07 16:00:00 UTC,+3520,+119.986+119.95d,-14.6462+25.4192j
2021-01-07 16:15:00 UTC,+3640,+119.984+119.948d,-15.145+26.2866j
2021-01-07 16:30:00 UTC,+5720,+119.953+119.919d,-23.7842+41.3305j
2021-01-07 16:45:00 UTC,+3680,+119.984+119.948d,-15.3112+26.5757j
2021-01-07 17:00:00 UTC,+3920,+119.98+119.944d,-16.3086+28.3107j
2021-01-07 17:15:00 UTC,+5160,+119.961+119.927d,-21.4593+37.2785j
2021-01-07 17:30:00 UTC,+9040,+119.903+119.872d,-37.5509+65.3777j
2021-01-07 17:45:00 UTC,+5840,+119.951+119.917d,-24.2823+42.1989j
2021-01-07 18:00:00 UTC,+4000,+119.979+119.943d,-16.641+28.8891j
2021-01-07 18:15:00 UTC,+6360,+119.943+119.91d,-26.4402+45.9628j
2021-01-07 18:30:00 UTC,+4360,+119.973+119.938d,-18.1367+31.4922j
2021-01-07 18:45:00 UTC,+4560,+119.97+119.935d,-18.9675+32.9385j
2021-01-07 19:00:00 UTC,+5920,+119.95+119.916d,-24.6143+42.7779j
2021-01-07 19:15:00 UTC,+4000,+119.979+119.943d,-16.641+28.8891j
2021-01-07 19:30:00 UTC,+3720,+119.983+119.947d,-15.4775+26.8649j
2021-01-07 19:45:00 UTC,+3640,+119.984+119.948d,-15.145+26.2866j
2021-01-07 20:00:00 UTC,+3360,+119.988+119.952d,-13.9812+24.2627j
2021-01-07 20:15:00 UTC,+4360,+119.973+119.938d,-18.1367+31.4922j
2021-01-07 20:30:00 UTC,+6440,+119.942+119.909d,-26.7721+46.5419j
2021-01-07 20:45:00 UTC,+6240,+119.945+119.911d,-25.9423+45.0941j
2021-01-07 21:00:00 UTC,+4600,+119.97+119.935d,-19.1337+33.2278j
2021-01-07 21:15:00 UTC,+6760,+119.937+119.904d,-28.0996+48.8587j
2021-01-07 21:30:00 UTC,+4000,+119.979+119.943d,-16.641+28.8891j
2021-01-07 21:45:00 UTC,+3200,+119.991+119.955d,-13.3161+23.1063j
2021-01-07 22:00:00 UTC,+3920,+119.98+119.944d,-16.3086+28.3107j
2021-01-07 22:15:00 UTC,+3320,+119.989+119.953d,-13.8149+23.9736j
2021-01-07 22:30:00 UTC,+3120,+119.992+119.956d,-12.9835+22.5282j
2021-01-07 22:45:00 UTC,+3240,+119.99+119.954d,-13.4823+23.3954j
2021-01-07 23:00:00 UTC,+4480,+119.972+119.936d,-18.6352+32.36j
2021-01-07 23:15:00 UTC,+2880,+119.996+119.959d,-11.9856+20.7939j
2021-01-07 23:30:00 UTC,+2240,+120.005+119.968d,-9.32396+16.1703j
2021-01-07 23:45:00 UTC,+1160,+120.021+119.984d,-4.83007+8.37147j
2021-01-08 00:00:00 UTC,+1320,+120.019+119.981d,-5.49602+9.52656j
2021-01-08 00:15:00 UTC,+1040,+120.023+119.985d,-4.33056+7.50522j
2021-01-08 00:30:00 UTC,+1080,+120.023+119.985d,-4.49707+7.79396j
2021-01-08 00:45:00 UTC,+760,+120.027+119.989d,-3.16491+5.48417j
2021-01-08 01:00:00 UTC,+1040,+120.023+119.985d,-4.33056+7.50521j
2021-01-08 01:15:00 UTC,+1560,+120.015+119.978d,-6.49482+11.2594j
2021-01-08 01:30:00 UTC,+640,+120.029+119.991d,-2.66529+4.6181j
2021-01-08 01:45:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
2021-01-08 02:00:00 UTC,+1200,+120.021+119.983d,-4.99656+8.66023j
2021-01-08 02:15:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-08 02:30:00 UTC,+1280,+120.02+119.982d,-5.32953+9.23778j
2021-01-08 02:45:00 UTC,+560,+120.03+119.992d,-2.33218+4.04075j
2021-01-08 03:00:00 UTC,+1000,+120.024+119.986d,-4.16405+7.21648j
2021-01-08 03:15:00 UTC,+480,+120.032+119.993d,-1.99906+3.46343j
2021-01-08 03:30:00 UTC,+520,+120.031+119.993d,-2.16562+3.75208j
2021-01-08 03:45:00 UTC,+600,+120.03+119.991d,-2.49874+4.32942j
