# file...... Meter_645_B_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power,xfmr_meter_645_B_1:measured_power,xfmr_meter_645_B_2:measured_power,xfmr_meter_645_B_3:measured_power,xfmr_meter_645_B_4:measured_power,xfmr_meter_645_B_5:measured_power,house_meter_645_B_1:measured_power,house_meter_645_B_2:measured_power,house_meter_645_B_3:measured_power,house_meter_645_B_4:measured_power,house_meter_645_B_5:measured_power,house_meter_645_B_6:measured_power,house_meter_645_B_7:measured_power,house_meter_645_B_8:measured_power,house_meter_645_B_9:measured_power,house_meter_645_B_10:measured_power,house_meter_645_B_11:measured_power,house_meter_645_B_12:measured_power,house_meter_645_B_13:measured_power,house_meter_645_B_14:measured_power,house_meter_645_B_15:measured_power,house_meter_645_B_16:measured_power,house_meter_645_B_17:measured_power,house_meter_645_B_18:measured_power,house_meter_645_B_19:measured_power,house_meter_645_B_20:measured_power,house_meter_645_B_21:measured_power,house_meter_645_B_22:measured_power,house_meter_645_B_23:measured_power
2021-01-06 05:15:00 PST,+26101.9+61.0032j,+2601+1.2603j,+3241.5+1.93364j,+2640.98+1.27769j,+16058+55.9336j,+1560.34+0.44698j,+320.021+0.00147224d,+200.008+0.000920083d,+600.072+0.00276091d,+480.046+0.00220857d,+200.008+0.000920083d,+240.012+0.00110413d,+320.021+0.00147224d,+240.012+0.00110413d,+560.063+0.00257708d,+400.032+0.0018406d,+240.012+0.00110425d,+440.039+0.00202471d,+320.021+0.00147241d,+480.046+0.00220882d,+480.046+0.00220882d,+320.021+0.00147241d,+400.032+0.0018404d,+360.026+0.00165632d,+320.021+0.00147225d,+320.021+0.00147225d,+240.012+0.00110413d,+320.021+0.00147225d,+360.026+0.00165632d
2021-01-06 05:30:00 PST,+37313.9+120.47j,+2080.62+0.796209j,+3401.64+2.1282j,+7735.23+13.7007j,+22575.8+103.106j,+1520.33+0.42621j,+360.026+0.0016584d,+240.012+0.00110552d,+280.016+0.0012898d,+240.012+0.00110552d,+200.008+0.000921245d,+200.008+0.000921245d,+320.021+0.0014741d,+240.012+0.00110552d,+480.046+0.00221189d,+520.054+0.00239627d,+440.039+0.00202752d,+280.016+0.00129011d,+280.016+0.00129011d,+480.046+0.00221189d,+480.046+0.00221189d,+440.039+0.00202752d,+280.016+0.00129113d,+600.072+0.00276723d,+720.104+0.00332092d,+400.032+0.0018446d,+240.012+0.00110665d,+360.026+0.0016601d,+320.021+0.00147561d
2021-01-06 05:45:00 PST,+33366+84.2134j,+2240.75+0.938036j,+3361.62+2.08407j,+9223.69+20.2841j,+16939.5+60.2295j,+1600.36+0.470107j,+240.012+0.00110459d,+560.063+0.00257787d,+200.008+0.000920468d,+200.008+0.000920468d,+200.008+0.000920468d,+200.008+0.000920468d,+400.032+0.00184116d,+240.012+0.00110459d,+240.012+0.00110481d,+360.026+0.00165734d,+560.063+0.00257839d,+360.026+0.00165734d,+440.039+0.00202573d,+600.072+0.00276263d,+320.021+0.00147315d,+480.046+0.00220994d,+360.026+0.0016591d,+440.039+0.00202789d,+480.046+0.00221229d,+520.054+0.00239671d,+360.026+0.0016591d,+6207.75+0.0286744d,+560.063+0.00258113d
2021-01-06 06:00:00 PST,+70735.2+504.866j,+2560.95+1.21601j,+3161.44+1.85151j,+14081.4+41.8495j,+49290+458.035j,+1640.39+0.500647j,+240.012+0.00111014d,+360.026+0.00166533d,+200.008+0.000925094d,+240.012+0.00111014d,+480.046+0.0022206d,+360.026+0.00166533d,+280.016+0.00129519d,+400.032+0.00185041d,+360.026+0.00166551d,+280.016+0.00129534d,+320.021+0.00148042d,+560.063+0.00259111d,+560.063+0.00259111d,+400.032+0.00185061d,+400.032+0.00185061d,+280.016+0.00129534d,+520.055+0.00241077d,+720.105+0.00333839d,+600.073+0.00278179d,+280.016+0.00129792d,+680.093+0.00315284d,+1640.54+0.00760835d,+2881.68+0.0133711d
2021-01-06 06:15:00 PST,+65530.4+384.715j,+2480.91+1.14809j,+3561.9+2.37938j,+16650.2+55.4659j,+40916+323.987j,+1920.53+0.68101j,+480.046+0.00221994d,+160.005+0.000739838d,+200.008+0.000924819d,+320.021+0.00147982d,+240.012+0.00110981d,+360.026+0.00166483d,+240.012+0.00110981d,+480.046+0.00221994d,+920.171+0.00425685d,+440.039+0.00203529d,+320.021+0.00148011d,+400.032+0.00185022d,+320.021+0.00148011d,+320.021+0.00148011d,+520.054+0.00240546d,+320.021+0.00148011d,+400.032+0.00185464d,+320.021+0.00148364d,+240.012+0.00111268d,+360.026+0.00166914d,+2601.37+0.0120713d,+4724.52+0.0219423d,+4724.52+0.0219423d
2021-01-06 06:30:00 PST,+45753.9+213.029j,+2480.89+1.14028j,+3321.59+2.03847j,+6649.7+9.50784j,+31580.8+199.233j,+1720.42+0.544551j,+280.016+0.00129123d,+240.012+0.00110675d,+400.032+0.00184475d,+520.054+0.00239835d,+320.021+0.00147573d,+280.016+0.00129123d,+200.008+0.000922266d,+240.012+0.00110675d,+600.072+0.00276789d,+480.046+0.00221415d,+480.046+0.00221415d,+280.016+0.00129143d,+320.021+0.00147596d,+360.026+0.00166049d,+280.016+0.00129143d,+520.054+0.00239872d,+280.016+0.00129221d,+600.072+0.00276956d,+720.104+0.00332371d,+480.046+0.00221549d,+280.016+0.00129221d,+320.021+0.00147685d,+400.032+0.00184615d
2021-01-06 06:45:00 PST,+58446.1+279.698j,+2400.85+1.07627j,+3802.08+2.67743j,+17621.1+64.0833j,+32901+210.555j,+1720.43+0.55039j,+280.016+0.00129525d,+240.012+0.00111019d,+560.063+0.00259093d,+240.012+0.00111019d,+360.026+0.0016654d,+320.021+0.00148032d,+240.012+0.00111019d,+160.005+0.000740088d,+360.026+0.00166582d,+360.026+0.00166582d,+440.039+0.0020361d,+400.032+0.00185096d,+680.093+0.00314716d,+480.046+0.00222126d,+400.032+0.00185096d,+680.093+0.00314716d,+440.039+0.00204124d,+480.047+0.00222686d,+480.047+0.00222686d,+440.039+0.00204124d,+240.012+0.00111327d,+5405.92+0.0251273d,+4444+0.0206481d
2021-01-06 07:00:00 PST,+68993.3+526.373j,+3482.11+2.394j,+3802.12+2.69409j,+9938.24+19.9194j,+50009.3+499.386j,+1760.45+0.574747j,+360.026+0.00166801d,+520.055+0.00240958d,+200.008+0.000926581d,+200.008+0.000926581d,+1320.35+0.00611958d,+200.008+0.000926581d,+440.039+0.00203877d,+240.012+0.00111192d,+480.047+0.0022243d,+320.021+0.00148272d,+320.021+0.00148272d,+800.129+0.00370789d,+520.055+0.00240972d,+520.055+0.00240972d,+560.063+0.00259514d,+280.016+0.00129735d,+400.032+0.00185557d,+680.093+0.003155d,+600.073+0.00278369d,+320.021+0.00148438d,+240.012+0.00111323d,+3442.4+0.0159874d,+1400.4+0.00649843d
2021-01-06 07:15:00 PST,+85580.8+709.675j,+4844.87+4.95796j,+3842.12+2.73886j,+18354.9+73.1415j,+56657+626.255j,+1880.51+0.657852j,+280.016+0.00130134d,+640.083+0.00297514d,+240.012+0.00111541d,+240.012+0.00111541d,+2401.17+0.0111687d,+240.012+0.00111541d,+520.055+0.00241713d,+280.016+0.00130134d,+520.055+0.00241668d,+480.047+0.00223073d,+440.039+0.00204479d,+680.094+0.00316059d,+560.063+0.00260265d,+320.021+0.00148701d,+440.039+0.00204479d,+400.032+0.00185885d,+400.032+0.0018638d,+320.021+0.00149097d,+320.021+0.00149097d,+320.021+0.00149097d,+280.016+0.00130457d,+5085.26+0.0237381d,+8574.97+0.0400851d
2021-01-06 07:30:00 PST,+76458.2+509.364j,+4563.82+4.19594j,+3681.97+2.52468j,+20158.4+83.445j,+45732.2+416.843j,+2320.77+0.996468j,+200.008+0.000929043d,+1880.72+0.00874192d,+200.008+0.000929043d,+200.008+0.000929043d,+560.063+0.00260189d,+480.047+0.00223008d,+400.032+0.00185831d,+640.083+0.00297373d,+560.063+0.00260147d,+560.063+0.00260147d,+400.032+0.00185801d,+280.016+0.00130051d,+480.047+0.00222972d,+520.055+0.00241559d,+240.012+0.0011147d,+640.083+0.00297325d,+320.021+0.00149083d,+680.094+0.00316871d,+1000.2+0.00466078d,+480.047+0.00223647d,+280.016+0.00130445d,+5405.94+0.025236d,+6127.64+0.0286134d
