# file...... 1Meter_611_C_power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_24:measured_power,house_meter_611_C_25:measured_power,house_meter_611_C_26:measured_power,house_meter_611_C_27:measured_power,house_meter_611_C_28:measured_power,house_meter_611_C_29:measured_power,house_meter_611_C_30:measured_power,house_meter_611_C_31:measured_power,house_meter_611_C_32:measured_power,house_meter_611_C_33:measured_power,house_meter_611_C_34:measured_power,house_meter_611_C_35:measured_power,house_meter_611_C_36:measured_power,house_meter_611_C_37:measured_power,house_meter_611_C_38:measured_power,house_meter_611_C_39:measured_power,house_meter_611_C_40:measured_power
2021-01-06 05:30:00 PST,+640.084+0.00301414d,+600.074+0.00281983d,+1120.26+0.00526536d,+680.095+0.00319596d,+600.074+0.00281983d,+640.084+0.00300789d,+680.095+0.00319596d,+1040.22+0.00488902d,+1360.38+0.00639459d,+5887.13+0.0278135d,+4243.7+0.0200356d,+2441.22+0.0115171d,+2040.86+0.00962667d,+2000.82+0.00943768d,+2641.43+0.0124627d,+2120.92+0.0100047d,+2521.31+0.0118953d
2021-01-06 05:45:00 PST,+1000.21+0.00473175d,+1040.22+0.00491696d,+840.145+0.0039709d,+720.107+0.00340338d,+560.065+0.00264681d,+640.084+0.00302507d,+640.084+0.00302507d,+680.095+0.00321422d,+8575.19+0.0406598d,+1480.45+0.00701993d,+5686.69+0.0270118d,+2721.53+0.0129114d,+5686.69+0.0270118d,+2080.89+0.00986952d,+3923.18+0.0186215d,+5686.69+0.0270118d,+2241.04+0.0106298d
2021-01-06 06:00:00 PST,+680.095+0.00322228d,+1960.79+0.0092941d,+680.095+0.00322192d,+840.146+0.00398042d,+720.107+0.00341153d,+560.065+0.00265315d,+520.056+0.00246358d,+760.119+0.00360115d,+11547.6+0.0549535d,+2080.89+0.00987273d,+2080.89+0.00987273d,+2801.62+0.0132962d,+3322.28+0.0157705d,+2040.86+0.00968263d,+2761.58+0.0131059d,+2401.19+0.0113939d,+4925.02+0.0233941d
2021-01-06 06:15:00 PST,+680.096+0.0032255d,+1720.61+0.00815882d,+800.132+0.00379264d,+560.065+0.00265445d,+560.065+0.00265445d,+680.095+0.0032235d,+520.056+0.00246479d,+720.107+0.0034132d,+11467.3+0.0545959d,+1600.53+0.00759667d,+2080.9+0.00987862d,+6328.3+0.0300952d,+2601.4+0.0123523d,+2080.9+0.00987862d,+1640.56+0.00778678d,+2080.9+0.00987862d,+4003.32+0.01902d
2021-01-06 06:30:00 PST,+800.132+0.00380098d,+720.107+0.00341782d,+840.146+0.00398776d,+760.119+0.00360779d,+600.074+0.00284797d,+520.056+0.00246812d,+720.107+0.00341782d,+680.096+0.00322787d,+11386.9+0.0542853d,+2000.83+0.0095056d,+2120.93+0.0100767d,+2080.9+0.00988632d,+2281.08+0.0108383d,+2201+0.0104575d,+2761.58+0.0131239d,+2080.9+0.00988632d,+3041.92+0.0144579d
2021-01-06 06:45:00 PST,+920.175+0.00436906d,+680.096+0.00322415d,+800.132+0.0037934d,+480.048+0.00227559d,+840.146+0.00398317d,+560.065+0.00265498d,+560.065+0.00265498d,+720.107+0.00341389d,+6528.82+0.0310264d,+4404.02+0.0209624d,+2080.9+0.00989516d,+2201+0.0104668d,+2080.9+0.00989516d,+7291.04+0.0347457d,+1520.48+0.00722856d,+2040.86+0.00970463d,+2721.53+0.012945d
2021-01-06 07:00:00 PST,+520.056+0.00247204d,+840.146+0.00398905d,+1040.22+0.00493943d,+760.119+0.00360896d,+840.146+0.00398905d,+720.107+0.00341893d,+520.056+0.00246892d,+880.16+0.0041791d,+7531.77+0.0358605d,+3081.97+0.0146653d,+2601.4+0.0123761d,+2080.9+0.00989765d,+1878.73+0.00893531d,+2881.72+0.0137113d,+3963.26+0.0188657d,+760.12+0.00361348d,+2561.36+0.0121854d
2021-01-06 07:15:00 PST,+10704.1+0.0517005d,+800.134+0.00383274d,+920.177+0.00440798d,+2080.9+0.00997313d,+520.056+0.00249084d,+640.085+0.00306589d,+520.056+0.00249084d,+1080.24+0.00517511d,+6769.59+0.0325083d,+2201.02+0.010604d,+6809.75+0.0328715d,+6007.59+0.0289896d,+5486.33+0.0264684d,+5245.78+0.0253054d,+7291.18+0.0352026d,+4684.61+0.022593d,+2641.46+0.0127283d
2021-01-06 07:30:00 PST,+12955.7+0.0632872d,+640.086+0.00308901d,+2681.51+0.0129519d,+6448.76+0.0311976d,+480.048+0.00231652d,+480.048+0.00231652d,+640.086+0.00308901d,+1040.23+0.00502091d,+6809.77+0.0329491d,+2160.98+0.0104466d,+3362.38+0.0162627d,+2401.21+0.0116091d,+2000.84+0.00967182d,+3883.18+0.0187857d,+1640.57+0.00792909d,+2961.85+0.014323d,+6408.66+0.0310364d
2021-01-06 07:45:00 PST,+11548.9+0.0574221d,+640.088+0.00314393d,+12031.1+0.0593836d,+10865.4+0.0536027d,+600.077+0.00294736d,+5526.55+0.0272018d,+640.088+0.00314393d,+4123.64+0.0202845d,+7211.16+0.0355192d,+5566.62+0.0273118d,+2321.15+0.0113726d,+2321.15+0.0113726d,+2040.89+0.00999825d,+4524.37+0.0221883d,+2801.68+0.0137298d,+2120.96+0.0103909d,+3682.9+0.0180551d
