# file...... 1Meter_652_A_power.real.csv
# date...... Wed May 12 03:44:55 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 12:00:00 PST,2.4412e+003,9.6019e+002,2.1609e+003,3.1620e+003,1.8407e+003,2.2810e+003,5.0451e+003,5.8068e+003,7.7722e+003,5.6464e+003,5.2055e+003,2.8817e+003,7.2010e+002,2.7215e+003,3.4424e+003,5.7667e+003,5.2054e+003,4.0003e+002,6.4008e+002,3.8830e+003,4.4004e+002
2021-01-06 12:15:00 PST,2.6414e+003,4.7245e+003,3.5225e+003,5.8469e+003,1.8007e+003,4.9249e+003,2.8416e+003,3.0819e+003,4.2036e+003,5.4460e+003,1.6737e+004,2.8817e+003,1.2632e+004,5.0852e+003,3.4825e+003,1.1426e+004,4.1234e+003,1.0402e+003,2.9217e+003,4.8447e+003,1.4404e+003
2021-01-06 12:30:00 PST,4.9249e+003,5.9672e+003,1.7206e+003,6.2880e+003,1.8407e+003,2.9618e+003,2.7615e+003,5.0051e+003,4.5241e+003,5.2857e+003,3.0819e+003,2.9217e+003,1.4121e+004,7.7723e+003,1.7946e+004,5.9672e+003,3.9632e+003,3.1220e+003,6.0007e+002,4.9249e+003,3.6003e+002
2021-01-06 12:45:00 PST,4.6043e+003,8.3744e+003,2.2010e+003,8.3342e+003,1.8807e+003,2.4012e+003,2.7616e+003,3.4424e+003,5.0051e+003,6.5688e+003,3.0819e+003,1.4201e+004,1.3598e+004,2.6414e+003,1.5570e+004,5.6064e+003,3.9231e+003,1.1203e+003,2.8817e+003,3.8831e+003,1.2003e+003
2021-01-06 13:00:00 PST,4.8848e+003,7.4513e+003,2.4012e+003,5.9271e+003,1.8407e+003,3.6026e+003,1.3195e+004,7.1705e+003,5.1654e+003,8.0532e+003,2.7215e+003,3.5225e+003,4.7646e+003,2.7615e+003,5.7667e+003,4.9650e+003,1.0703e+004,1.8807e+003,3.3623e+003,1.9207e+003,3.6003e+002
2021-01-06 13:15:00 PST,7.7322e+003,6.3682e+003,1.8807e+003,4.6845e+003,1.8407e+003,3.4424e+003,2.8817e+003,4.7245e+003,4.8448e+003,7.6920e+003,3.3222e+003,2.7615e+003,4.3639e+003,2.7615e+003,3.5626e+003,1.0181e+004,5.0051e+003,1.4404e+003,8.4545e+003,1.2403e+003,1.2403e+003
2021-01-06 13:30:00 PST,7.5716e+003,1.4804e+003,1.7206e+003,4.6444e+003,1.8407e+003,4.3238e+003,2.8416e+003,5.3659e+003,4.8047e+003,1.0061e+004,2.0419e+004,2.8016e+003,4.2437e+003,7.8525e+003,3.6026e+003,6.4885e+003,3.9231e+003,1.2803e+003,4.0032e+003,1.4004e+003,2.8002e+002
2021-01-06 13:45:00 PST,6.9698e+003,4.5241e+003,2.3211e+003,4.0032e+003,1.8807e+003,3.5225e+003,2.7215e+003,5.6464e+003,4.7646e+003,8.9763e+003,1.1293e+004,2.1609e+003,2.6014e+003,3.8830e+003,3.4824e+003,6.0474e+003,3.9632e+003,1.6405e+003,4.8848e+003,4.4004e+002,1.0802e+003
2021-01-06 14:00:00 PST,6.8896e+003,3.1220e+003,2.0408e+003,4.4039e+003,2.4812e+003,2.4412e+003,3.0819e+003,6.2480e+003,4.0433e+003,4.8448e+003,8.4072e+003,1.3759e+004,1.2231e+004,5.5632e+003,1.4282e+004,5.9271e+003,7.8525e+003,2.0408e+003,3.7228e+003,6.0007e+002,1.3604e+003
2021-01-06 14:15:00 PST,5.8870e+003,1.0402e+003,2.0008e+003,3.3222e+003,2.4412e+003,3.4023e+003,8.9764e+003,5.7668e+003,6.9699e+003,3.2421e+003,6.0442e+003,4.8047e+003,1.5650e+004,8.6075e+003,1.5972e+004,5.9672e+003,6.2479e+003,2.4412e+003,3.2021e+003,5.2005e+002,1.0402e+003
