# file...... Meter_652A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power,xfmr_meter_652_A_1:measured_power,xfmr_meter_652_A_2:measured_power,xfmr_meter_652_A_3:measured_power,xfmr_meter_652_A_4:measured_power,xfmr_meter_652_A_5:measured_power,house_meter_652_A_1:measured_power,house_meter_652_A_2:measured_power,house_meter_652_A_3:measured_power,house_meter_652_A_4:measured_power,house_meter_652_A_5:measured_power,house_meter_652_A_6:measured_power,house_meter_652_A_7:measured_power,house_meter_652_A_8:measured_power,house_meter_652_A_9:measured_power,house_meter_652_A_10:measured_power,house_meter_652_A_11:measured_power,house_meter_652_A_12:measured_power,house_meter_652_A_13:measured_power,house_meter_652_A_14:measured_power,house_meter_652_A_15:measured_power,house_meter_652_A_16:measured_power,house_meter_652_A_17:measured_power,house_meter_652_A_18:measured_power,house_meter_652_A_19:measured_power,house_meter_652_A_20:measured_power,house_meter_652_A_21:measured_power,house_meter_652_A_22:measured_power,house_meter_652_A_23:measured_power
2021-01-06 05:00:00 PST,+103958+584.927j,+8854.8+15.9929j,+9413.28+16.6961j,+14151.1+38.1516j,+37604.9+279.648j,+33932.3+232.863j,+560.064+0.00261131d,+3923.13+0.0183167d,+680.094+0.0031711d,+800.13+0.00373098d,+600.073+0.0027979d,+760.117+0.00354435d,+760.106+0.00319089d,+760.117+0.00354435d,+600.073+0.00279818d,+920.172+0.00429138d,+880.157+0.0041047d,+600.073+0.00279818d,+1840.69+0.00858759d,+1600.52+0.00746637d,+1800.66+0.0084007d,+1160.27+0.00541167d,+360.026+0.00168012d,+1760.63+0.00822097d,+1760.63+0.00822097d,+1720.6+0.00803393d,+480.047+0.00224033d,+2601.38+0.0121508d,+2200.99+0.010279d
2021-01-06 05:15:00 PST,+82229.8+323.717j,+7328.79+10.3905j,+10056.2+19.4263j,+14391.7+39.1971j,+30064.1+173.299j,+20388.3+80.5042j,+560.063+0.00260053d,+2521.29+0.0117163d,+600.073+0.00278634d,+760.117+0.00352971d,+840.143+0.00390145d,+600.073+0.00278634d,+680.094+0.00315801d,+760.117+0.00352971d,+760.117+0.00353147d,+600.073+0.00278773d,+680.094+0.00315958d,+800.13+0.00371743d,+3001.83+0.013959d,+1000.2+0.00464735d,+1960.78+0.00911413d,+1240.31+0.00576356d,+640.083+0.00297601d,+1720.6+0.00800329d,+1800.66+0.00837595d,+1800.66+0.00837595d,+440.039+0.00204576d,+1920.75+0.008935d,+2881.68+0.0134103d
2021-01-06 05:30:00 PST,+84426.2+361.457j,+8691.87+14.41j,+8530.96+13.6874j,+12544+29.7135j,+32978.4+210.444j,+21680.2+92.2061j,+1280.33+0.00594351d,+2641.41+0.0122686d,+600.073+0.00278487d,+1000.19+0.00428602d,+800.129+0.00371361d,+680.093+0.00315634d,+760.117+0.00352784d,+920.171+0.00427096d,+720.105+0.00334199d,+960.186+0.00445664d,+640.083+0.00297051d,+720.105+0.00334199d,+1720.6+0.00798849d,+640.083+0.00297051d,+1880.72+0.00873246d,+1240.31+0.00575747d,+200.008+0.000928717d,+1800.66+0.00836659d,+1880.72+0.00873886d,+1880.72+0.00873886d,+400.032+0.00185766d,+2000.81+0.00929734d,+2361.13+0.0109733d
2021-01-06 05:45:00 PST,+97252.5+564.762j,+9173.42+16.1259j,+9974.88+18.6705j,+14953.6+42.0229j,+46859.3+432.444j,+16290.1+53.9655j,+600.073+0.00278415d,+2561.33+0.0118932d,+600.073+0.00278415d,+1480.44+0.00687124d,+600.073+0.00278415d,+680.093+0.00315553d,+760.105+0.00317521d,+1880.72+0.00873046d,+720.105+0.00334171d,+1520.47+0.00705816d,+1480.44+0.00687225d,+760.117+0.00352745d,+1880.72+0.00873173d,+440.039+0.00204181d,+1920.75+0.00891773d,+1240.31+0.00575699d,+280.016+0.00130039d,+2200.98+0.0102293d,+1840.69+0.00855353d,+1800.66+0.00836738d,+1560.49+0.00725067d,+1880.72+0.00873969d,+3442.4+0.016007d
2021-01-06 06:00:00 PST,+95920.6+533.381j,+7449.11+10.7204j,+10415.8+20.1545j,+14471.7+39.3609j,+45896.6+403.26j,+17686.3+58.3959j,+560.063+0.00259103d,+2601.36+0.0120447d,+560.063+0.00259103d,+720.094+0.00298203d,+880.156+0.00407241d,+560.063+0.00259103d,+800.129+0.00370201d,+760.116+0.00351683d,+1640.54+0.00759708d,+880.156+0.00407461d,+680.093+0.00314818d,+1480.44+0.00685524d,+1720.6+0.00796806d,+1000.2+0.00463057d,+1920.74+0.00889566d,+1080.24+0.00500126d,+680.093+0.00315051d,+3081.92+0.0142907d,+1840.68+0.0085309d,+1720.6+0.00797396d,+600.073+0.00277973d,+1760.63+0.0081596d,+2881.68+0.0133611d
2021-01-06 06:15:00 PST,+102558+637.872j,+8491.6+13.8295j,+8891.76+14.779j,+12624.2+29.9936j,+49160.9+468.382j,+23387.8+109.143j,+560.063+0.00259004d,+2641.41+0.0122256d,+680.093+0.00314528d,+800.129+0.00370059d,+600.073+0.00277511d,+760.116+0.00351548d,+1640.54+0.00759008d,+800.129+0.00370059d,+720.104+0.00333062d,+960.186+0.00444147d,+640.083+0.0029604d,+720.104+0.00333062d,+1920.74+0.0088881d,+1000.2+0.00462664d,+1760.62+0.00814663d,+1160.27+0.00536742d,+320.021+0.00148092d,+1840.68+0.00852314d,+1800.65+0.00833765d,+1720.6+0.0079667d,+360.026+0.00166608d,+2481.24+0.0114922d,+2281.05+0.0105641d
2021-01-06 06:30:00 PST,+119523+808.806j,+9855.96+18.7766j,+9172.72+15.8242j,+14269.7+37.8593j,+48941.4+458.222j,+37281.5+275.9j,+760.117+0.00352088d,+3001.82+0.0139171d,+2321.09+0.0107581d,+720.105+0.00333549d,+720.105+0.00333549d,+640.083+0.00296474d,+800.117+0.00335418d,+880.156+0.0040771d,+760.117+0.00352044d,+760.117+0.00352044d,+640.083+0.00296437d,+760.117+0.00352044d,+2080.87+0.00964258d,+840.142+0.0038912d,+1760.63+0.00815753d,+1560.49+0.00722966d,+2000.81+0.00927989d,+1720.6+0.00797935d,+1760.63+0.00816512d,+1720.6+0.00797935d,+400.032+0.00185419d,+2441.2+0.0113245d,+2281.05+0.0105809d
2021-01-06 06:45:00 PST,+106188+639.306j,+7729.75+11.4603j,+9453.22+16.5943j,+14070.1+37.0969j,+46325.1+417.567j,+28608.2+154.836j,+600.072+0.00275468d,+2721.48+0.0125038d,+640.082+0.00293839d,+680.082+0.00277641d,+640.082+0.00293839d,+760.116+0.00348959d,+800.128+0.00367334d,+880.155+0.00404087d,+760.116+0.00349068d,+760.116+0.00349068d,+680.093+0.00312309d,+680.093+0.00312309d,+1840.68+0.0084566d,+1760.62+0.00808853d,+1720.59+0.00790451d,+1240.31+0.00569696d,+440.039+0.00202222d,+1720.59+0.00791112d,+1760.62+0.00809529d,+2921.71+0.0134402d,+360.026+0.00165446d,+2000.8+0.00920052d,+2841.62+0.0130714d
2021-01-06 07:00:00 PST,+110929+795.256j,+9778.4+19.4783j,+13708+35.0194j,+12182.3+27.7248j,+59419.3+663.114j,+15839.7+47.687j,+760.116+0.00349622d,+4524.11+0.0208405d,+640.082+0.00294397d,+600.072+0.00275991d,+1080.23+0.00496927d,+760.116+0.00349622d,+680.082+0.00278168d,+720.104+0.00331213d,+680.093+0.00313027d,+2361.12+0.0108749d,+2080.87+0.00958303d,+2881.67+0.0132752d,+2000.8+0.00921401d,+720.104+0.00331449d,+1880.71+0.00866054d,+1080.23+0.00497281d,+240.012+0.0011042d,+1720.59+0.00792052d,+1760.62+0.00810491d,+2040.84+0.00939592d,+440.039+0.00202462d,+1800.65+0.00828931d,+2281.04+0.0105028d
2021-01-06 07:15:00 PST,+125651+725.249j,+17734.5+61.3581j,+25464+123.187j,+14189.8+37.2377j,+46747.4+413.897j,+21513.4+87.5636j,+600.072+0.00274398d,+5886.92+0.0269763d,+520.054+0.002378d,+3762.82+0.0172282d,+2000.8+0.00915428d,+3442.36+0.015759d,+840.141+0.00384213d,+640.082+0.00292699d,+1080.23+0.00494749d,+6769.16+0.0310735d,+4684.38+0.0214855d,+5726.55+0.0262765d,+1960.77+0.00898352d,+760.115+0.0034809d,+1920.74+0.00879997d,+2481.23+0.0113704d,+760.115+0.00347382d,+1840.67+0.00841574d,+1840.67+0.00841574d,+1920.73+0.00878206d,+400.032+0.00182793d,+2241+0.0102477d,+2241+0.0102477d
