# file...... Meter_684_A_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power.real,xfmr_meter_684_A_1:measured_power.real,xfmr_meter_684_A_2:measured_power.real,xfmr_meter_684_A_3:measured_power.real,xfmr_meter_684_A_4:measured_power.real,xfmr_meter_684_A_5:measured_power.real,house_meter_684_A_1:measured_power.real,house_meter_684_A_2:measured_power.real,house_meter_684_A_3:measured_power.real,house_meter_684_A_4:measured_power.real,house_meter_684_A_5:measured_power.real,house_meter_684_A_6:measured_power.real,house_meter_684_A_7:measured_power.real,house_meter_684_A_8:measured_power.real,house_meter_684_A_9:measured_power.real,house_meter_684_A_10:measured_power.real,house_meter_684_A_11:measured_power.real,house_meter_684_A_12:measured_power.real,house_meter_684_A_13:measured_power.real,house_meter_684_A_14:measured_power.real,house_meter_684_A_15:measured_power.real,house_meter_684_A_16:measured_power.real,house_meter_684_A_17:measured_power.real,house_meter_684_A_18:measured_power.real,house_meter_684_A_19:measured_power.real
2021-01-06 05:30:00 PST,8.8035e+004,2.6300e+004,2.4247e+004,2.8161e+004,5.1238e+003,4.2027e+003,3.7228e+003,3.6827e+003,3.6827e+003,3.4824e+003,3.6427e+003,3.4424e+003,3.6827e+003,8.8016e+002,3.6427e+003,1.0802e+003,8.8016e+002,3.5626e+003,3.5626e+003,3.7629e+003,3.4824e+003,4.2036e+003,2.9618e+003,2.3611e+003,2.7615e+003
2021-01-06 05:45:00 PST,8.8859e+004,2.4527e+004,2.6223e+004,3.0384e+004,4.3627e+003,3.3617e+003,2.8817e+003,3.6827e+003,3.6026e+003,3.5225e+003,2.8416e+003,3.4424e+003,3.6827e+003,8.0013e+002,3.7228e+003,1.0802e+003,9.6019e+002,3.5626e+003,3.3623e+003,3.8430e+003,4.6043e+003,5.0051e+003,6.1677e+003,2.4012e+003,1.8407e+003
2021-01-06 06:00:00 PST,8.3295e+004,2.2959e+004,2.1831e+004,3.0220e+004,4.2425e+003,4.0425e+003,5.6006e+002,3.6026e+003,3.5626e+003,3.6427e+003,3.3222e+003,3.4824e+003,3.8430e+003,8.8016e+002,3.6827e+003,1.0802e+003,7.6012e+002,3.5225e+003,2.0408e+003,3.6827e+003,3.2421e+003,3.7628e+003,4.3638e+003,3.5626e+003,1.4404e+003
2021-01-06 06:15:00 PST,7.4347e+004,2.3039e+004,1.8935e+004,2.4168e+004,4.4830e+003,3.7221e+003,6.0007e+002,3.6026e+003,2.8817e+003,4.3628e+003,3.7628e+003,3.2021e+003,3.8029e+003,7.6012e+002,3.6026e+003,8.8016e+002,8.8016e+002,3.5225e+003,8.8016e+002,2.7215e+003,2.2010e+003,4.2035e+003,1.7606e+003,1.2403e+003,2.2410e+003
2021-01-06 06:30:00 PST,8.0285e+004,2.3650e+004,2.0389e+004,2.8681e+004,4.2426e+003,3.3216e+003,5.6006e+002,3.6026e+003,8.8016e+002,8.6878e+003,3.7228e+003,2.8016e+003,8.8016e+002,2.4412e+003,3.6026e+003,7.6012e+002,6.4008e+002,2.9217e+003,2.2010e+003,2.5213e+003,1.1203e+003,6.5687e+003,3.1620e+003,3.9231e+003,2.4812e+003
2021-01-06 06:45:00 PST,8.3366e+004,2.7313e+004,1.8493e+004,2.7351e+004,5.1639e+003,5.0438e+003,0.0000e+000,3.6026e+003,3.6026e+003,8.2469e+003,3.7228e+003,3.6827e+003,8.0013e+002,3.5625e+003,3.6026e+003,8.4014e+002,8.0013e+002,2.8817e+003,5.2005e+002,2.6013e+003,2.8817e+003,4.3237e+003,4.4840e+003,4.4439e+003,2.0008e+003
2021-01-06 07:00:00 PST,8.3962e+004,2.7431e+004,1.9537e+004,2.6904e+004,4.3627e+003,5.7262e+003,6.4008e+002,3.6427e+003,3.6827e+003,7.5257e+003,3.7628e+003,3.7228e+003,8.0013e+002,3.5625e+003,3.6026e+003,9.2017e+002,6.8009e+002,3.3222e+003,2.1609e+003,2.5613e+003,4.1234e+003,2.1209e+003,2.2410e+003,1.8807e+003,3.7628e+003
2021-01-06 07:15:00 PST,7.8969e+004,2.7587e+004,1.5436e+004,2.5337e+004,5.2038e+003,5.4054e+003,1.8006e+003,3.9231e+003,1.8807e+003,6.3641e+003,3.8429e+003,3.7628e+003,3.1620e+003,2.7615e+003,3.6426e+003,8.0013e+002,8.0013e+002,2.4412e+003,8.0013e+002,1.9207e+003,2.2810e+003,2.7215e+003,1.6405e+003,2.3611e+003,1.7206e+003
2021-01-06 07:30:00 PST,9.4033e+004,2.9039e+004,2.0543e+004,3.1596e+004,5.3642e+003,7.4893e+003,3.8429e+003,4.3638e+003,3.3622e+003,4.3633e+003,4.0833e+003,4.0032e+003,4.0032e+003,9.2017e+002,3.8029e+003,1.0002e+003,9.2017e+002,2.4812e+003,2.4812e+003,2.0008e+003,4.8446e+003,2.9617e+003,2.8816e+003,5.2054e+003,1.4004e+003
2021-01-06 07:45:00 PST,9.1486e+004,2.3638e+004,1.5475e+004,3.6231e+004,7.0871e+003,9.0543e+003,3.0418e+003,1.6405e+003,3.5625e+003,4.0833e+003,3.4423e+003,3.6025e+003,2.5212e+003,1.6806e+003,1.7206e+003,6.8009e+002,8.4014e+002,3.3622e+003,2.7615e+003,2.5613e+003,1.5205e+003,2.0008e+003,5.0851e+003,4.2035e+003,3.7227e+003
2021-01-06 08:00:00 PST,8.1846e+004,1.8211e+004,1.9217e+004,2.6109e+004,9.9760e+003,8.3314e+003,6.8009e+002,1.0002e+003,2.7615e+003,4.4038e+003,1.3604e+003,3.3622e+003,9.6018e+002,3.6426e+003,7.2010e+002,1.8003e+003,8.8015e+002,2.3211e+003,3.9631e+003,9.6018e+002,3.4023e+003,5.1252e+003,3.6426e+003,2.8015e+003,1.5605e+003
2021-01-06 08:15:00 PST,1.0032e+005,2.7554e+004,2.2319e+004,3.0901e+004,9.4136e+003,1.0136e+004,1.0002e+003,1.0002e+003,6.7650e+003,1.9207e+003,2.0008e+003,6.4483e+003,3.9620e+003,4.3638e+003,6.8009e+002,6.8056e+003,9.2017e+002,3.6026e+003,4.0032e+003,7.2010e+002,4.2035e+003,1.3203e+003,5.0451e+003,7.6011e+002,3.0018e+003
2021-01-06 08:30:00 PST,8.8035e+004,2.3283e+004,2.0871e+004,2.3727e+004,1.0538e+004,9.6152e+003,1.3604e+003,8.0013e+002,6.9248e+003,1.3604e+003,3.1620e+003,5.2054e+003,1.6803e+003,2.7215e+003,7.6011e+002,6.0437e+003,1.1603e+003,3.6426e+003,1.1202e+003,6.0007e+002,6.0072e+003,1.4804e+003,1.6005e+003,3.0418e+003,1.4804e+003
2021-01-06 08:45:00 PST,8.3322e+004,2.0989e+004,1.7284e+004,2.4010e+004,1.2587e+004,8.4514e+003,1.3203e+003,7.6012e+002,2.5206e+003,1.2803e+003,4.0433e+003,5.8468e+003,1.4404e+003,3.7228e+003,9.6018e+002,2.4812e+003,3.2811e+003,3.7628e+003,1.2803e+003,6.4008e+002,2.7215e+003,2.1209e+003,2.4012e+003,1.6005e+003,1.6806e+003
2021-01-06 09:00:00 PST,9.6598e+004,2.2757e+004,2.5329e+004,2.7396e+004,1.2102e+004,9.0121e+003,1.1603e+003,2.9618e+003,2.0008e+003,1.1203e+003,3.2822e+003,4.0833e+003,4.7645e+003,3.3222e+003,3.9231e+003,1.9207e+003,3.3212e+003,3.8430e+003,2.2810e+003,2.9612e+003,3.1220e+003,3.8830e+003,5.7653e+003,8.8015e+002,4.2436e+003
2021-01-06 09:15:00 PST,9.1549e+004,2.0987e+004,2.2434e+004,2.9980e+004,1.1260e+004,6.8868e+003,1.4004e+003,2.5613e+003,4.2035e+003,1.1603e+003,3.1220e+003,1.8407e+003,5.1252e+003,1.5205e+003,4.7223e+003,1.7606e+003,2.4806e+003,3.9231e+003,6.2439e+003,7.2008e+002,1.3604e+003,1.1603e+003,5.8059e+003,8.4014e+002,2.2010e+003
2021-01-06 09:30:00 PST,8.1837e+004,1.7686e+004,2.5018e+004,2.0825e+004,1.1781e+004,6.5263e+003,1.6803e+003,8.8016e+002,2.9217e+003,2.4412e+003,3.8430e+003,1.8807e+003,2.4812e+003,1.5205e+003,6.3255e+003,1.9608e+003,1.2403e+003,4.2837e+003,5.5259e+003,6.4008e+002,3.8430e+003,1.1203e+003,5.9658e+003,5.6006e+002,2.9618e+003
2021-01-06 09:45:00 PST,9.3002e+004,2.3529e+004,2.3932e+004,2.7274e+004,9.7751e+003,8.4919e+003,8.3674e+003,8.0013e+002,1.0802e+003,4.2436e+003,3.8430e+003,2.3211e+003,1.3604e+003,1.4404e+003,5.5240e+003,1.7206e+003,1.1603e+003,3.4424e+003,6.3281e+003,5.2005e+002,4.3238e+003,8.4014e+002,5.8058e+003,1.0802e+003,2.3611e+003
2021-01-06 10:00:00 PST,9.9887e+004,2.6864e+004,2.1515e+004,3.2237e+004,1.1701e+004,7.5690e+003,6.8453e+003,3.6418e+003,1.8807e+003,2.7215e+003,3.8430e+003,2.2410e+003,1.7606e+003,3.8430e+003,4.2022e+003,1.6806e+003,1.1203e+003,1.6005e+003,6.0474e+003,8.4014e+002,4.7646e+003,1.2003e+003,5.0038e+003,5.2005e+002,3.0419e+003
2021-01-06 10:15:00 PST,1.0291e+005,3.1621e+004,2.2436e+004,3.0866e+004,1.1340e+004,6.6468e+003,5.1227e+003,7.7264e+003,4.0032e+003,2.0809e+003,3.9231e+003,4.1635e+003,1.6405e+003,2.8416e+003,5.7636e+003,1.7206e+003,1.1203e+003,1.6005e+003,5.7667e+003,2.4808e+003,1.6405e+003,2.2810e+003,2.5609e+003,9.6018e+002,5.5662e+003
2021-01-06 10:30:00 PST,1.1380e+005,3.0534e+004,3.2676e+004,3.3852e+004,1.0135e+004,6.6064e+003,6.7253e+003,3.8821e+003,2.6414e+003,1.8006e+003,6.4884e+003,3.0819e+003,2.1609e+003,3.6427e+003,5.3632e+003,1.8407e+003,1.2003e+003,1.4404e+003,6.0463e+003,6.2461e+003,5.0852e+003,5.3257e+003,4.3228e+003,5.2005e+002,5.6865e+003
2021-01-06 10:45:00 PST,9.4020e+004,1.9499e+004,2.8452e+004,3.2694e+004,8.0899e+003,5.2841e+003,3.0013e+003,9.6011e+002,9.6019e+002,3.6827e+003,4.0834e+003,1.3204e+003,4.3638e+003,1.0802e+003,2.2806e+003,1.6806e+003,1.5205e+003,1.4804e+003,1.0692e+004,7.5268e+003,2.2010e+003,9.6019e+002,3.1215e+003,8.8016e+002,5.7266e+003
2021-01-06 11:00:00 PST,9.6032e+004,1.8772e+004,3.3580e+004,3.0746e+004,7.4482e+003,5.4845e+003,2.2010e+003,4.2018e+003,1.0802e+003,4.1234e+003,1.5205e+003,1.2003e+003,3.2811e+003,1.1203e+003,1.0402e+003,1.5204e+003,1.2803e+003,3.7615e+003,8.5278e+003,1.1975e+004,3.0819e+003,2.2410e+003,5.2829e+003,2.7615e+003,5.9271e+003
