# file...... 1Meter_645_C_power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_645_C_20:measured_power.real,house_meter_645_C_21:measured_power.real,house_meter_645_C_22:measured_power.real,house_meter_645_C_23:measured_power.real,house_meter_645_C_24:measured_power.real,house_meter_645_C_25:measured_power.real,house_meter_645_C_26:measured_power.real,house_meter_645_C_27:measured_power.real,house_meter_645_C_28:measured_power.real,house_meter_645_C_29:measured_power.real,house_meter_645_C_30:measured_power.real,house_meter_645_C_31:measured_power.real,house_meter_645_C_32:measured_power.real,house_meter_645_C_33:measured_power.real,house_meter_645_C_34:measured_power.real,house_meter_645_C_35:measured_power.real,house_meter_645_C_36:measured_power.real,house_meter_645_C_37:measured_power.real,house_meter_645_C_38:measured_power.real,house_meter_645_C_39:measured_power.real,house_meter_645_C_40:measured_power.real
2021-01-06 06:30:00 PST,8.4014e+002,1.2003e+003,1.1603e+003,1.0002e+003,9.6019e+002,5.2006e+002,6.0007e+002,4.4841e+003,1.4004e+003,1.6406e+003,2.0809e+003,1.5205e+003,2.3611e+003,1.6406e+003,2.2410e+003,1.2403e+003,1.7206e+003,1.8807e+003,1.2003e+003,2.5213e+003,1.4805e+003
2021-01-06 06:45:00 PST,7.3611e+002,1.3684e+003,7.6812e+002,7.9213e+002,7.1210e+002,3.6003e+002,4.2404e+002,4.8005e+002,8.9616e+002,8.8016e+002,1.5205e+003,1.0002e+003,1.2403e+003,2.3211e+003,2.0409e+003,4.0003e+002,4.8005e+002,8.0013e+002,1.0402e+003,4.8005e+002,4.4004e+002
2021-01-06 07:00:00 PST,8.0013e+002,4.8849e+003,9.2017e+002,1.1203e+003,9.2017e+002,4.8005e+002,4.4004e+002,5.6006e+002,6.8010e+002,2.6014e+003,1.9208e+003,2.0008e+003,3.2822e+003,1.2803e+003,2.2811e+003,1.8007e+003,2.2010e+003,2.8417e+003,2.5614e+003,2.0008e+003,2.0008e+003
2021-01-06 07:15:00 PST,1.0402e+003,2.3612e+003,1.0002e+003,1.1603e+003,9.6019e+002,4.4004e+002,4.8005e+002,6.0007e+002,6.4008e+002,1.9608e+003,1.2003e+003,1.6406e+003,1.4404e+003,2.0008e+003,1.4004e+003,1.0002e+003,1.2803e+003,2.2410e+003,1.7206e+003,1.1603e+003,9.6019e+002
2021-01-06 07:30:00 PST,4.6044e+003,1.1603e+003,9.6019e+002,1.2003e+003,1.2403e+003,5.2006e+002,1.8407e+003,5.2006e+002,6.4008e+002,2.2410e+003,1.4805e+003,2.2811e+003,2.0008e+003,6.0007e+002,1.3204e+003,1.4004e+003,2.4012e+003,2.1610e+003,2.2410e+003,1.8407e+003,1.9608e+003
2021-01-06 07:45:00 PST,2.1930e+003,8.6416e+002,9.2818e+002,2.3932e+003,1.4965e+003,3.3303e+003,3.4825e+003,4.0003e+002,6.9610e+002,3.0820e+003,2.4412e+003,1.5605e+003,1.4404e+003,2.2811e+003,1.8407e+003,2.0409e+003,2.2010e+003,2.6815e+003,1.8007e+003,1.0402e+003,1.0402e+003
2021-01-06 08:00:00 PST,1.0402e+003,1.5605e+003,1.6005e+003,5.2858e+003,1.7206e+003,4.1235e+003,1.9608e+003,9.2018e+002,4.6846e+003,1.0402e+003,1.6005e+003,7.2011e+002,1.4404e+003,2.6815e+003,1.6005e+003,3.8417e+003,2.6414e+003,1.0402e+003,1.2003e+003,1.7606e+003,1.8807e+003
2021-01-06 08:15:00 PST,1.2003e+003,1.6406e+003,1.6806e+003,2.1209e+003,1.8807e+003,1.6806e+003,1.2803e+003,1.4004e+003,5.4862e+003,2.0809e+003,1.3204e+003,1.8807e+003,1.5205e+003,2.6414e+003,1.4004e+003,4.4823e+003,9.2018e+002,2.9218e+003,1.3204e+003,3.6828e+003,9.2018e+002
2021-01-06 08:30:00 PST,1.0402e+003,1.5205e+003,1.6005e+003,1.5605e+003,1.8807e+003,1.8007e+003,1.2003e+003,1.2403e+003,1.8407e+003,1.9208e+003,1.6806e+003,5.6006e+002,1.9608e+003,2.3612e+003,8.8016e+002,2.1205e+003,1.9608e+003,2.0809e+003,1.3604e+003,2.7616e+003,8.4015e+002
2021-01-06 08:45:00 PST,7.6812e+002,1.1443e+003,1.7686e+003,1.4084e+003,1.3044e+003,1.3044e+003,9.0417e+002,1.3844e+003,1.3844e+003,1.1603e+003,1.4404e+003,1.6406e+003,2.0809e+003,7.6012e+002,1.5205e+003,1.2003e+003,1.2803e+003,1.9208e+003,1.0002e+003,3.3223e+003,8.8016e+002
