# file...... 1Meter_611_C_power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_611_C_20:measured_power.real,house_meter_611_C_21:measured_power.real,house_meter_611_C_22:measured_power.real,house_meter_611_C_23:measured_power.real,house_meter_611_C_24:measured_power.real,house_meter_611_C_25:measured_power.real,house_meter_611_C_26:measured_power.real,house_meter_611_C_27:measured_power.real,house_meter_611_C_28:measured_power.real,house_meter_611_C_29:measured_power.real,house_meter_611_C_30:measured_power.real,house_meter_611_C_31:measured_power.real,house_meter_611_C_32:measured_power.real,house_meter_611_C_33:measured_power.real,house_meter_611_C_34:measured_power.real,house_meter_611_C_35:measured_power.real,house_meter_611_C_36:measured_power.real,house_meter_611_C_37:measured_power.real,house_meter_611_C_38:measured_power.real,house_meter_611_C_39:measured_power.real,house_meter_611_C_40:measured_power.real
2021-01-06 08:30:00 PST,1.3117e+004,6.1281e+003,1.1549e+004,8.8169e+003,1.1991e+004,1.1348e+004,1.1549e+004,1.1830e+004,1.1750e+004,1.4003e+004,1.0785e+004,1.9208e+003,5.2059e+003,1.8808e+003,2.2411e+003,2.9218e+003,5.3392e+003,8.6561e+003,5.9677e+003,2.9619e+003,2.4813e+003
2021-01-06 08:45:00 PST,4.8451e+003,1.1951e+004,1.1429e+004,1.4365e+004,1.1670e+004,6.1683e+003,1.5493e+004,3.9234e+003,1.2434e+004,1.1308e+004,1.4043e+004,9.4997e+003,5.1257e+003,1.8808e+003,7.0106e+003,5.8073e+003,3.3224e+003,5.7271e+003,2.4012e+003,5.3662e+003,2.5214e+003
2021-01-06 09:00:00 PST,1.2715e+004,1.1790e+004,1.1308e+004,1.0384e+004,8.8170e+003,3.7631e+003,1.1790e+004,6.4009e+002,1.2313e+004,1.1227e+004,1.1951e+004,1.1348e+004,5.8073e+003,1.5205e+003,9.0979e+003,2.4012e+003,1.8007e+003,1.9208e+003,2.8417e+003,3.3224e+003,6.0479e+003
2021-01-06 09:15:00 PST,1.7587e+004,7.7731e+003,8.7767e+003,5.7271e+003,7.8534e+003,3.8432e+003,8.7767e+003,7.2011e+002,1.1107e+004,1.1107e+004,1.1951e+004,1.1388e+004,5.6870e+003,3.6028e+003,7.0908e+003,2.6015e+003,2.0809e+003,1.7206e+003,6.4489e+003,2.2811e+003,7.5322e+003
2021-01-06 09:30:00 PST,9.5799e+003,3.1221e+003,9.4594e+003,6.2484e+003,8.2146e+003,4.3641e+003,8.8570e+003,8.4015e+002,1.1348e+004,1.1388e+004,1.1388e+004,1.1267e+004,5.4464e+003,2.4012e+003,4.3240e+003,4.4042e+003,1.9608e+003,1.7206e+003,3.7230e+003,2.2411e+003,8.0941e+003
2021-01-06 09:45:00 PST,9.4995e+003,1.5205e+003,8.7766e+003,6.4891e+003,8.4153e+003,3.5627e+003,8.1342e+003,5.6007e+002,1.1710e+004,1.1509e+004,1.1066e+004,1.1187e+004,4.5244e+003,3.8832e+003,1.9608e+003,5.4062e+003,4.5938e+003,2.6815e+003,2.2010e+003,2.3211e+003,8.2947e+003
2021-01-06 10:00:00 PST,7.3716e+003,6.2083e+003,7.8532e+003,5.4864e+003,1.0946e+004,3.0820e+003,7.5321e+003,3.9634e+003,1.1428e+004,9.0977e+003,1.1187e+004,1.1106e+004,4.8450e+003,3.0420e+003,1.9208e+003,2.0809e+003,1.8007e+003,4.4041e+003,4.6045e+003,2.2411e+003,7.3314e+003
2021-01-06 10:15:00 PST,6.6495e+003,5.2058e+003,7.6526e+003,4.7248e+003,7.8934e+003,3.2423e+003,6.5292e+003,4.8005e+002,9.1380e+003,9.6601e+003,1.1388e+004,1.1227e+004,5.3261e+003,1.5205e+003,1.7146e+003,2.0009e+003,6.3687e+003,1.6806e+003,9.2583e+003,4.7248e+003,4.9653e+003
2021-01-06 10:30:00 PST,8.7364e+003,5.2459e+003,7.3717e+003,4.4442e+003,7.8132e+003,4.6446e+003,7.3717e+003,4.1237e+003,8.0539e+003,9.5797e+003,1.1589e+004,1.1428e+004,4.7649e+003,1.8407e+003,6.2427e+003,4.6847e+003,2.5214e+003,1.7206e+003,6.3286e+003,4.7648e+003,6.5692e+003
2021-01-06 10:45:00 PST,1.1870e+004,6.0077e+003,7.0507e+003,4.7649e+003,7.8131e+003,4.2038e+003,6.6896e+003,3.3224e+003,1.0222e+004,8.5758e+003,1.1549e+004,1.0142e+004,5.0454e+003,1.4404e+003,4.0835e+003,9.9411e+003,2.6014e+003,1.8007e+003,3.4425e+003,4.6045e+003,2.9218e+003
