# file...... Meter_684_A_Power.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_684_A:measured_power,xfmr_meter_684_A_1:measured_power,xfmr_meter_684_A_2:measured_power,xfmr_meter_684_A_3:measured_power,xfmr_meter_684_A_4:measured_power,xfmr_meter_684_A_5:measured_power,house_meter_684_A_1:measured_power,house_meter_684_A_2:measured_power,house_meter_684_A_3:measured_power,house_meter_684_A_4:measured_power,house_meter_684_A_5:measured_power,house_meter_684_A_6:measured_power,house_meter_684_A_7:measured_power,house_meter_684_A_8:measured_power,house_meter_684_A_9:measured_power,house_meter_684_A_10:measured_power,house_meter_684_A_11:measured_power,house_meter_684_A_12:measured_power,house_meter_684_A_13:measured_power,house_meter_684_A_14:measured_power,house_meter_684_A_15:measured_power,house_meter_684_A_16:measured_power,house_meter_684_A_17:measured_power,house_meter_684_A_18:measured_power,house_meter_684_A_19:measured_power,house_meter_684_A_20:measured_power,house_meter_684_A_21:measured_power,house_meter_684_A_22:measured_power,house_meter_684_A_23:measured_power
2021-01-06 05:00:00 PST,+79032.7+339.475j,+23844.8+106.492j,+20672.2+83.4392j,+27951.9+144.492j,+3802.04+2.66319j,+2761.14+1.42866j,+3762.87+0.0175073d,+3682.75+0.017134d,+840.143+0.00390426d,+3562.57+0.0165741d,+3842.99+0.0178807d,+3442.4+0.0160142d,+3722.81+0.0173206d,+920.171+0.0042763d,+3682.75+0.017124d,+1080.24+0.00501758d,+1080.24+0.00501758d,+3602.63+0.0167509d,+520.055+0.00241505d,+6368.22+0.0296432d,+720.105+0.00334432d,+3562.57+0.0165644d,+3602.63+0.0167734d,+5125.33+0.0238776d,+3883.06+0.018081d,+2200.98+0.0102416d,+3482.46+0.0162131d,+3202.08+0.014906d,+3041.88+0.0141593d
2021-01-06 05:15:00 PST,+86016.9+380.524j,+24527.8+111.729j,+21629.3+87.3036j,+30612.6+172.363j,+4963.61+4.58309j,+4282.8+3.45395j,+3682.74+0.0170926d,+3642.68+0.0169064d,+1760.63+0.00816517d,+3482.45+0.0161617d,+3802.86+0.0172835d,+3522.51+0.0163478d,+3682.74+0.0170926d,+880.156+0.00408041d,+3642.68+0.0168974d,+1080.24+0.00500572d,+1000.2+0.00463471d,+3522.51+0.0163391d,+3562.56+0.0165252d,+3522.51+0.0163391d,+2080.87+0.0096465d,+3162.02+0.0146649d,+3963.18+0.0184168d,+3923.12+0.0182303d,+4043.31+0.0187898d,+2321.09+0.0107789d,+4123.44+0.0191628d,+3842.99+0.0178574d,+4083.38+0.0189763d
2021-01-06 05:30:00 PST,+88034.9+396.029j,+26299.6+127.861j,+24247.1+109.626j,+28160.9+149.254j,+5123.77+4.84618j,+4202.67+3.31564j,+3722.8+0.0172687d,+3682.74+0.0170826d,+3682.74+0.0170826d,+3482.45+0.0161522d,+3642.68+0.0168965d,+3442.39+0.0159662d,+3682.74+0.0170826d,+880.156+0.00407803d,+3642.68+0.0168902d,+1080.24+0.00500359d,+880.156+0.0040765d,+3562.56+0.0165181d,+3562.56+0.0165181d,+3762.86+0.0174482d,+3482.45+0.0161462d,+4203.57+0.0194953d,+2961.77+0.013739d,+2361.13+0.0109501d,+2761.54+0.0128092d,+3482.45+0.0161578d,+2080.87+0.0096493d,+7932.74+0.0368725d,+3162.02+0.0146691d
2021-01-06 05:45:00 PST,+88858.8+421.375j,+24526.9+111.217j,+26222.6+128.42j,+30384+174.935j,+4362.68+3.49207j,+3361.71+2.1192j,+2881.67+0.0133433d,+3682.74+0.017058d,+3602.62+0.0166864d,+3522.5+0.0163148d,+2841.63+0.0131577d,+3442.39+0.0159432d,+3682.74+0.017058d,+800.129+0.0037018d,+3722.8+0.0172492d,+1080.24+0.00499983d,+960.186+0.00444398d,+3562.56+0.0165057d,+3362.28+0.0155766d,+3842.98+0.017807d,+4604.28+0.0213411d,+5005.06+0.0232025d,+6167.69+0.0286276d,+2401.16+0.0111281d,+1840.68+0.00852867d,+2681.45+0.0124285d,+2000.81+0.00927119d,+8293.92+0.0385297d,+3482.45+0.0161464d
2021-01-06 06:00:00 PST,+83295.4+366.264j,+22958.6+98.2789j,+21830.9+88.7975j,+30220+171.795j,+4242.55+3.30177j,+4042.46+3.05563j,+560.063+0.00258375d,+3602.61+0.0166403d,+3562.55+0.016455d,+3642.67+0.0168256d,+3322.22+0.0153435d,+3482.44+0.0160845d,+3842.97+0.0177523d,+880.156+0.00406096d,+3682.73+0.0170074d,+1080.23+0.00498348d,+760.116+0.00350622d,+3522.5+0.0162664d,+2040.84+0.0094187d,+3682.73+0.0170074d,+3242.11+0.01497d,+3762.85+0.017378d,+4363.84+0.0201894d,+3562.56+0.0164769d,+1440.42+0.00665627d,+1760.62+0.00813702d,+2160.94+0.00998876d,+7892.57+0.0365672d,+4003.23+0.0185183d
2021-01-06 06:15:00 PST,+74347.2+282.346j,+23038.7+98.7095j,+18935.3+67.5201j,+24167.6+109.017j,+4482.95+3.72561j,+3722.05+2.57562j,+600.072+0.00276571d,+3602.61+0.0166244d,+2881.67+0.0132937d,+4362.77+0.0145877d,+3762.85+0.0173649d,+3202.06+0.0147736d,+3802.91+0.0175501d,+760.116+0.00350358d,+3602.61+0.016612d,+880.155+0.00405404d,+880.155+0.00405404d,+3522.49+0.016242d,+880.155+0.00405404d,+2721.49+0.0125446d,+2200.97+0.0101432d,+4203.55+0.0193876d,+1760.62+0.00812011d,+1240.31+0.00571919d,+2241.01+0.0103377d,+4203.55+0.0194061d,+3522.49+0.0162575d,+5726.6+0.0264537d,+2160.94+0.009968d
2021-01-06 06:30:00 PST,+80285.1+346.156j,+23650.2+106.953j,+20388.7+80.1327j,+28681.3+152.729j,+4242.61+3.32525j,+3321.63+2.04818j,+560.063+0.00258228d,+3602.55+0.0162653d,+880.156+0.00405864d,+8687.85+0.0207443d,+3722.79+0.0171864d,+2801.58+0.0129288d,+880.156+0.00405864d,+2441.2+0.0112641d,+3602.61+0.0166209d,+760.116+0.00350286d,+640.082+0.00294956d,+2921.71+0.0134759d,+2200.97+0.0101486d,+2521.28+0.0116271d,+1120.25+0.00516322d,+6568.68+0.0303413d,+3162.01+0.0146077d,+3923.1+0.0181292d,+2481.24+0.0114595d,+5405.89+0.0249964d,+2200.97+0.010164d,+5806.79+0.0268545d,+4043.29+0.0186856d
2021-01-06 06:45:00 PST,+83366.2+352.563j,+27313.5+139.193j,+18493+64.1974j,+27351.2+138.543j,+5163.87+4.90033j,+5043.85+4.7367j,+0+0d,+3602.59+0.0165138d,+3602.59+0.0165138d,+8246.91+0.0192387d,+3722.77+0.0170655d,+3682.71+0.0168816d,+800.128+0.00366357d,+3562.53+0.0163299d,+3602.59+0.0164874d,+840.141+0.00384072d,+800.127+0.00365774d,+2881.65+0.0131843d,+520.054+0.00237713d,+2601.35+0.0119005d,+2881.65+0.0131843d,+4323.73+0.0197935d,+4484.02+0.0205615d,+4443.94+0.0203774d,+2000.8+0.00916558d,+4403.87+0.0201934d,+1720.59+0.00788108d,+6087.41+0.0279318d,+1800.65+0.00824803d
2021-01-06 07:00:00 PST,+83962.3+354.039j,+27431.4+139.299j,+19537.2+70.9116j,+26904+132.733j,+4362.72+3.4843j,+5726.2+6.60675j,+640.082+0.00293428d,+3642.65+0.0167188d,+3682.71+0.0169029d,+7525.68+0.0173287d,+3762.83+0.0172712d,+3722.77+0.0170871d,+800.128+0.0036682d,+3562.54+0.0163506d,+3602.59+0.0165111d,+920.169+0.00421272d,+680.092+0.0031133d,+3322.2+0.0152243d,+2160.93+0.00989808d,+2561.31+0.0117339d,+4123.39+0.0189019d,+2120.9+0.00971455d,+2241+0.0102789d,+1880.71+0.00862504d,+3762.83+0.0172696d,+2321.08+0.0106465d,+4283.67+0.0196641d,+5205.42+0.0239042d,+3322.21+0.0152446d
2021-01-06 07:15:00 PST,+78969.4+312.353j,+27586.6+137.674j,+15435.9+44.0966j,+25337+118.971j,+5203.84+4.91607j,+5405.4+5.80898j,+1800.64+0.00819227d,+3923.05+0.0178635d,+1880.7+0.00855678d,+6364.1+0.0148073d,+3842.93+0.0174981d,+3762.81+0.0171328d,+3161.98+0.0143937d,+2761.51+0.0125687d,+3642.63+0.0165486d,+800.127+0.00363093d,+800.127+0.00363093d,+2441.18+0.0110851d,+800.127+0.00363093d,+1920.73+0.00872003d,+2281.03+0.0103572d,+2721.47+0.0123592d,+1640.53+0.00746035d,+2361.1+0.0107402d,+1720.59+0.00782464d,+1840.67+0.00837115d,+4844.66+0.0220592d,+6528.46+0.0297459d,+2481.22+0.0112871d
