# file...... Meter_652A_Power.real.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_652_A:measured_power.real,xfmr_meter_652_A_1:measured_power.real,xfmr_meter_652_A_2:measured_power.real,xfmr_meter_652_A_3:measured_power.real,xfmr_meter_652_A_4:measured_power.real,xfmr_meter_652_A_5:measured_power.real,house_meter_652_A_1:measured_power.real,house_meter_652_A_2:measured_power.real,house_meter_652_A_3:measured_power.real,house_meter_652_A_4:measured_power.real,house_meter_652_A_5:measured_power.real,house_meter_652_A_6:measured_power.real,house_meter_652_A_7:measured_power.real,house_meter_652_A_8:measured_power.real,house_meter_652_A_9:measured_power.real,house_meter_652_A_10:measured_power.real,house_meter_652_A_11:measured_power.real,house_meter_652_A_12:measured_power.real,house_meter_652_A_13:measured_power.real,house_meter_652_A_14:measured_power.real,house_meter_652_A_15:measured_power.real,house_meter_652_A_16:measured_power.real,house_meter_652_A_17:measured_power.real,house_meter_652_A_18:measured_power.real,house_meter_652_A_19:measured_power.real
2021-01-06 05:30:00 PST,8.4426e+004,8.6919e+003,8.5310e+003,1.2544e+004,3.2978e+004,2.1680e+004,1.2803e+003,2.6414e+003,6.0007e+002,1.0002e+003,8.0013e+002,6.8009e+002,7.6012e+002,9.2017e+002,7.2010e+002,9.6019e+002,6.4008e+002,7.2010e+002,1.7206e+003,6.4008e+002,1.8807e+003,1.2403e+003,2.0001e+002,1.8007e+003,1.8807e+003
2021-01-06 05:45:00 PST,9.7252e+004,9.1734e+003,9.9749e+003,1.4954e+004,4.6859e+004,1.6290e+004,6.0007e+002,2.5613e+003,6.0007e+002,1.4804e+003,6.0007e+002,6.8009e+002,7.6011e+002,1.8807e+003,7.2010e+002,1.5205e+003,1.4804e+003,7.6012e+002,1.8807e+003,4.4004e+002,1.9207e+003,1.2403e+003,2.8002e+002,2.2010e+003,1.8407e+003
2021-01-06 06:00:00 PST,9.5921e+004,7.4491e+003,1.0416e+004,1.4472e+004,4.5897e+004,1.7686e+004,5.6006e+002,2.6014e+003,5.6006e+002,7.2009e+002,8.8016e+002,5.6006e+002,8.0013e+002,7.6012e+002,1.6405e+003,8.8016e+002,6.8009e+002,1.4804e+003,1.7206e+003,1.0002e+003,1.9207e+003,1.0802e+003,6.8009e+002,3.0819e+003,1.8407e+003
2021-01-06 06:15:00 PST,1.0256e+005,8.4916e+003,8.8918e+003,1.2624e+004,4.9162e+004,2.3388e+004,5.6006e+002,2.6414e+003,6.8009e+002,8.0013e+002,6.0007e+002,7.6012e+002,1.6405e+003,8.0013e+002,7.2010e+002,9.6019e+002,6.4008e+002,7.2010e+002,1.9207e+003,1.0002e+003,1.7606e+003,1.1603e+003,3.2002e+002,1.8407e+003,1.8007e+003
2021-01-06 06:30:00 PST,1.1953e+005,9.8560e+003,9.1728e+003,1.4270e+004,4.8943e+004,3.7283e+004,7.6012e+002,3.0018e+003,2.3211e+003,7.2011e+002,7.2011e+002,6.4008e+002,8.0012e+002,8.8016e+002,7.6012e+002,7.6012e+002,6.4008e+002,7.6012e+002,2.0809e+003,8.4014e+002,1.7606e+003,1.5605e+003,2.0008e+003,1.7206e+003,1.7606e+003
2021-01-06 06:45:00 PST,1.0619e+005,7.7298e+003,9.4533e+003,1.4070e+004,4.6329e+004,2.8609e+004,6.0007e+002,2.7215e+003,6.4008e+002,6.8008e+002,6.4008e+002,7.6012e+002,8.0013e+002,8.8016e+002,7.6012e+002,7.6012e+002,6.8009e+002,6.8009e+002,1.8407e+003,1.7606e+003,1.7206e+003,1.2403e+003,4.4004e+002,1.7206e+003,1.7606e+003
2021-01-06 07:00:00 PST,1.1093e+005,9.7786e+003,1.3708e+004,1.2182e+004,5.9424e+004,1.5840e+004,7.6012e+002,4.5241e+003,6.4008e+002,6.0007e+002,1.0802e+003,7.6012e+002,6.8008e+002,7.2010e+002,6.8009e+002,2.3611e+003,2.0809e+003,2.8817e+003,2.0008e+003,7.2010e+002,1.8807e+003,1.0802e+003,2.4001e+002,1.7206e+003,1.7606e+003
2021-01-06 07:15:00 PST,1.2566e+005,1.7735e+004,2.5465e+004,1.4190e+004,4.6752e+004,2.1514e+004,6.0007e+002,5.8870e+003,5.2005e+002,3.7629e+003,2.0008e+003,3.4424e+003,8.4014e+002,6.4008e+002,1.0802e+003,6.7693e+003,4.6844e+003,5.7266e+003,1.9608e+003,7.6012e+002,1.9207e+003,2.4812e+003,7.6012e+002,1.8407e+003,1.8407e+003
2021-01-06 07:30:00 PST,1.1291e+005,1.8461e+004,2.3736e+004,1.3227e+004,3.6816e+004,2.0673e+004,7.2010e+002,7.1302e+003,8.8015e+002,2.8416e+003,2.1609e+003,3.3623e+003,6.4008e+002,6.8009e+002,1.2003e+003,3.5625e+003,4.6844e+003,8.2938e+003,1.6806e+003,8.4014e+002,1.8407e+003,1.5605e+003,2.0001e+002,1.8006e+003,1.8807e+003
2021-01-06 07:45:00 PST,1.3971e+005,1.6285e+004,1.8020e+004,1.3587e+004,4.3694e+004,4.8117e+004,6.8009e+002,4.8447e+003,4.1234e+003,3.2821e+003,1.0002e+003,7.6012e+002,7.6010e+002,8.0013e+002,7.2010e+002,2.3211e+003,1.1202e+003,7.7721e+003,1.9608e+003,8.0013e+002,1.7606e+003,1.5205e+003,6.0007e+002,2.0008e+003,1.9207e+003
