# file...... Meter_611_C_Power.csv
# date...... Tue May 11 22:32:20 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_611_C:measured_power,xfmr_meter_611_C_1:measured_power,xfmr_meter_611_C_2:measured_power,xfmr_meter_611_C_3:measured_power,xfmr_meter_611_C_4:measured_power,xfmr_meter_611_C_5:measured_power,house_meter_611_C_1:measured_power,house_meter_611_C_2:measured_power,house_meter_611_C_3:measured_power,house_meter_611_C_4:measured_power,house_meter_611_C_5:measured_power,house_meter_611_C_6:measured_power,house_meter_611_C_7:measured_power,house_meter_611_C_8:measured_power,house_meter_611_C_9:measured_power,house_meter_611_C_10:measured_power,house_meter_611_C_11:measured_power,house_meter_611_C_12:measured_power,house_meter_611_C_13:measured_power,house_meter_611_C_14:measured_power,house_meter_611_C_15:measured_power,house_meter_611_C_16:measured_power,house_meter_611_C_17:measured_power,house_meter_611_C_18:measured_power,house_meter_611_C_19:measured_power,house_meter_611_C_20:measured_power,house_meter_611_C_21:measured_power,house_meter_611_C_22:measured_power,house_meter_611_C_23:measured_power
2021-01-06 05:00:00 PST,+69229.4+343.73j,+35361.8+258.749j,+3842.23+2.80307j,+5644.77+6.03403j,+5123.77+4.90711j,+19256.1+70.4735j,+2521.31+0.0119242d,+2321.11+0.0109765d,+2521.31+0.0119242d,+2601.39+0.0123033d,+2281.07+0.0107869d,+4524.22+0.0214143d,+15811.8+0.0751925d,+2601.39+0.0123033d,+520.055+0.00244312d,+200.008+0.000939479d,+400.033+0.00187919d,+520.055+0.00244312d,+680.095+0.00319517d,+560.064+0.00263112d,+200.008+0.000939479d,+760.118+0.00357125d,+360.027+0.00169179d,+560.064+0.002632d,+440.04+0.00206785d,+480.047+0.00225589d,+1000.2+0.00470127d,+800.131+0.00376055d,+1000.2+0.00470127d
2021-01-06 05:15:00 PST,+74681.5+327.362j,+27732.9+168.746j,+4082.41+3.1228j,+14860.2+52.6605j,+5845.01+6.42388j,+22160.4+95.7186j,+720.106+0.00339517d,+1240.32+0.00584911d,+2561.35+0.0120854d,+2521.31+0.0118963d,+160.005+0.000754222d,+3202.11+0.0151128d,+14724.8+0.0698273d,+2481.27+0.0117072d,+640.084+0.00300455d,+400.033+0.00187757d,+640.084+0.00300455d,+440.04+0.00206537d,+480.047+0.00225319d,+640.084+0.00300455d,+480.047+0.00225319d,+360.026+0.00168977d,+600.074+0.00282232d,+9619.03+0.0454092d,+320.021+0.00150498d,+440.04+0.0020695d,+1280.34+0.00602348d,+640.084+0.00301055d,+1120.26+0.00527002d
2021-01-06 05:30:00 PST,+77693.7+317.742j,+24015.6+112.937j,+5084.35+5.08891j,+17899+81.1131j,+6726.7+8.54032j,+23967.4+109.368j,+1560.5+0.00735947d,+2080.89+0.00981577d,+200.008+0.000942728d,+2441.22+0.0115172d,+5526.28+0.0261051d,+2841.66+0.0134086d,+6809.55+0.032184d,+2481.27+0.0117063d,+560.064+0.00263097d,+680.095+0.00319499d,+520.055+0.00244299d,+360.027+0.00169113d,+240.012+0.00112734d,+1760.63+0.00827488d,+640.084+0.00300698d,+320.021+0.00150319d,+560.064+0.00263724d,+12834+0.0607393d,+480.047+0.00226038d,+400.033+0.00188356d,+920.174+0.00433357d,+680.095+0.0032026d,+1320.36+0.00621927d
2021-01-06 05:45:00 PST,+99518.2+528.862j,+34308.2+228.421j,+3602.01+2.49094j,+18262.5+84.4115j,+13729.3+44.2628j,+29615+168.105j,+2441.23+0.0115905d,+1840.7+0.00873714d,+3322.28+0.0157794d,+5406.05+0.0256985d,+3802.99+0.0180661d,+4965.1+0.0235981d,+9900.34+0.0471507d,+2481.27+0.0117808d,+360.027+0.00169811d,+480.047+0.00226431d,+160.005+0.000754622d,+840.145+0.00396343d,+440.04+0.00207557d,+200.008+0.0009433d,+440.04+0.00207557d,+680.095+0.00320817d,+200.008+0.000945881d,+12995+0.0617823d,+680.095+0.00321695d,+480.047+0.00227051d,+840.145+0.00397427d,+840.145+0.00397427d,+1160.28+0.00548937d
2021-01-06 06:00:00 PST,+110531+755.354j,+48822.5+495.677j,+3361.71+2.15521j,+18223.5+84.7053j,+17646.7+75.3j,+22475.2+95.9108j,+2281.08+0.0108775d,+2281.08+0.0108775d,+2641.45+0.0125978d,+15812.2+0.075829d,+16577.4+0.0795241d,+3522.58+0.0168063d,+5165.55+0.0246618d,+200.008+0.000952925d,+320.021+0.00151183d,+200.008+0.000944821d,+360.027+0.00170085d,+440.04+0.00207892d,+560.065+0.00264609d,+360.027+0.00170085d,+360.027+0.00170085d,+760.119+0.00359157d,+280.016+0.00132649d,+13075.5+0.0622706d,+400.033+0.00189513d,+480.048+0.00227427d,+1520.48+0.00720649d,+760.119+0.00360155d,+960.19+0.00454989d
2021-01-06 06:15:00 PST,+111005+740.301j,+47085.4+467.297j,+3962.3+2.96519j,+20391.8+98.958j,+17083.7+71.5632j,+22480.2+97.9551j,+2160.97+0.010307d,+2281.08+0.0108804d,+2641.45+0.0126012d,+16859.4+0.0809084d,+15933.1+0.076433d,+3803.01+0.0181512d,+440.04+0.00209732d,+2641.45+0.0126012d,+520.056+0.00245875d,+320.021+0.00151289d,+640.084+0.00302638d,+480.047+0.00226956d,+480.047+0.00226956d,+680.095+0.00321561d,+440.04+0.00208038d,+400.033+0.00189121d,+760.119+0.00360515d,+12874.4+0.0613695d,+360.027+0.00170728d,+360.027+0.00170728d,+2080.9+0.00987481d,+2040.86+0.00968467d,+1160.28+0.00550396d
2021-01-06 06:30:00 PST,+112004+739.577j,+48249.7+483.956j,+8095.32+14.687j,+20767.9+107.533j,+16279.7+66.5265j,+18610.2+65.3132j,+2241.05+0.0107078d,+2201.01+0.0105163d,+3001.88+0.0143476d,+15892.9+0.0763719d,+15973.4+0.0767615d,+5165.56+0.0247113d,+800.133+0.00382077d,+2641.45+0.0126231d,+600.074+0.00284361d,+720.107+0.00341259d,+560.065+0.00265397d,+360.027+0.00170591d,+4524.23+0.0214741d,+520.056+0.00246434d,+520.056+0.00246434d,+280.016+0.00132676d,+680.096+0.00323059d,+14282.5+0.0682294d,+600.074+0.00285038d,+280.016+0.00132991d,+840.146+0.00399113d,+2040.86+0.00969997d,+1160.28+0.00551265d
2021-01-06 06:45:00 PST,+117204+910.414j,+57162.1+667.519j,+5525.26+6.08781j,+18907.8+89.8225j,+11190.5+28.5651j,+24416.5+116.431j,+2241.05+0.0107239d,+2160.97+0.0103404d,+2841.68+0.0136015d,+15087.7+0.0725877d,+15933.2+0.0766828d,+14242.5+0.068497d,+400.033+0.00191278d,+3803.02+0.0182101d,+520.056+0.00246268d,+560.065+0.00265218d,+200.008+0.000946995d,+600.074+0.00284169d,+1920.76+0.00910085d,+280.016+0.00132586d,+480.048+0.00227318d,+960.19+0.00454772d,+680.096+0.00322882d,+13236.4+0.0631701d,+640.085+0.00303882d,+600.074+0.00284882d,+760.119+0.00360886d,+880.16+0.004179d,+1120.26+0.00531952d
2021-01-06 07:00:00 PST,+122216+800.775j,+48312.6+478.156j,+21009.1+109.356j,+19873.5+97.0571j,+13161.5+39.2315j,+19857.4+75.2755j,+2281.08+0.0109094d,+2721.54+0.0130183d,+360.027+0.00172046d,+9579.18+0.0459527d,+11668.5+0.0560245d,+16255.4+0.0781985d,+2601.41+0.012443d,+2521.32+0.0120595d,+400.033+0.00190183d,+160.005+0.00076062d,+240.012+0.00114099d,+1640.56+0.00780353d,+13920.4+0.0665535d,+320.021+0.00152139d,+360.027+0.00171161d,+3883.13+0.0184878d,+960.191+0.00456501d,+13276.7+0.0634454d,+360.027+0.00171124d,+560.065+0.00266226d,+1120.26+0.00532638d,+680.096+0.00323299d,+2321.12+0.0110414d
2021-01-06 07:15:00 PST,+169411+1341.97j,+50264+518.771j,+30180.7+208.45j,+35035.4+256.024j,+13359.1+39.1867j,+40568.9+316.562j,+2361.17+0.0113977d,+2321.13+0.0112042d,+2721.56+0.0131393d,+11025.7+0.0534172d,+11065.8+0.0536128d,+16417+0.0797195d,+1440.44+0.00695046d,+2561.38+0.0123651d,+320.021+0.00153754d,+1120.26+0.0053841d,+680.097+0.00326802d,+10663.9+0.0514579d,+14242.7+0.0688311d,+560.066+0.0026911d,+480.048+0.00230654d,+1960.81+0.00942716d,+1480.46+0.00712288d,+10262.2+0.0495566d,+240.012+0.00115416d,+320.021+0.00153896d,+1080.24+0.00519647d,+3642.78+0.0175423d,+7130.68+0.0343891d
