# file...... Meter_645_B_Power.real.csv
# date...... Wed May 12 15:03:45 2021
# user...... Christine
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_power.real,xfmr_meter_645_B_1:measured_power.real,xfmr_meter_645_B_2:measured_power.real,xfmr_meter_645_B_3:measured_power.real,xfmr_meter_645_B_4:measured_power.real,xfmr_meter_645_B_5:measured_power.real,house_meter_645_B_1:measured_power.real,house_meter_645_B_2:measured_power.real,house_meter_645_B_3:measured_power.real,house_meter_645_B_4:measured_power.real,house_meter_645_B_5:measured_power.real,house_meter_645_B_6:measured_power.real,house_meter_645_B_7:measured_power.real,house_meter_645_B_8:measured_power.real,house_meter_645_B_9:measured_power.real,house_meter_645_B_10:measured_power.real,house_meter_645_B_11:measured_power.real,house_meter_645_B_12:measured_power.real,house_meter_645_B_13:measured_power.real,house_meter_645_B_14:measured_power.real,house_meter_645_B_15:measured_power.real,house_meter_645_B_16:measured_power.real,house_meter_645_B_17:measured_power.real,house_meter_645_B_18:measured_power.real,house_meter_645_B_19:measured_power.real
2021-01-06 05:30:00 PST,3.7314e+004,2.0806e+003,3.4016e+003,7.7352e+003,2.2576e+004,1.5203e+003,3.6003e+002,2.4001e+002,2.8002e+002,2.4001e+002,2.0001e+002,2.0001e+002,3.2002e+002,2.4001e+002,4.8005e+002,5.2005e+002,4.4004e+002,2.8002e+002,2.8002e+002,4.8005e+002,4.8005e+002,4.4004e+002,2.8002e+002,6.0007e+002,7.2010e+002
2021-01-06 05:45:00 PST,3.3366e+004,2.2408e+003,3.3616e+003,9.2237e+003,1.6939e+004,1.6004e+003,2.4001e+002,5.6006e+002,2.0001e+002,2.0001e+002,2.0001e+002,2.0001e+002,4.0003e+002,2.4001e+002,2.4001e+002,3.6003e+002,5.6006e+002,3.6003e+002,4.4004e+002,6.0007e+002,3.2002e+002,4.8005e+002,3.6003e+002,4.4004e+002,4.8005e+002
2021-01-06 06:00:00 PST,7.0735e+004,2.5609e+003,3.1614e+003,1.4081e+004,4.9290e+004,1.6404e+003,2.4001e+002,3.6003e+002,2.0001e+002,2.4001e+002,4.8005e+002,3.6003e+002,2.8002e+002,4.0003e+002,3.6003e+002,2.8002e+002,3.2002e+002,5.6006e+002,5.6006e+002,4.0003e+002,4.0003e+002,2.8002e+002,5.2005e+002,7.2010e+002,6.0007e+002
2021-01-06 06:15:00 PST,6.5530e+004,2.4809e+003,3.5619e+003,1.6650e+004,4.0916e+004,1.9205e+003,4.8005e+002,1.6001e+002,2.0001e+002,3.2002e+002,2.4001e+002,3.6003e+002,2.4001e+002,4.8005e+002,9.2017e+002,4.4004e+002,3.2002e+002,4.0003e+002,3.2002e+002,3.2002e+002,5.2005e+002,3.2002e+002,4.0003e+002,3.2002e+002,2.4001e+002
2021-01-06 06:30:00 PST,4.5754e+004,2.4809e+003,3.3216e+003,6.6497e+003,3.1581e+004,1.7204e+003,2.8002e+002,2.4001e+002,4.0003e+002,5.2005e+002,3.2002e+002,2.8002e+002,2.0001e+002,2.4001e+002,6.0007e+002,4.8005e+002,4.8005e+002,2.8002e+002,3.2002e+002,3.6003e+002,2.8002e+002,5.2005e+002,2.8002e+002,6.0007e+002,7.2010e+002
2021-01-06 06:45:00 PST,5.8446e+004,2.4009e+003,3.8021e+003,1.7621e+004,3.2901e+004,1.7204e+003,2.8002e+002,2.4001e+002,5.6006e+002,2.4001e+002,3.6003e+002,3.2002e+002,2.4001e+002,1.6001e+002,3.6003e+002,3.6003e+002,4.4004e+002,4.0003e+002,6.8009e+002,4.8005e+002,4.0003e+002,6.8009e+002,4.4004e+002,4.8005e+002,4.8005e+002
2021-01-06 07:00:00 PST,6.8993e+004,3.4821e+003,3.8021e+003,9.9382e+003,5.0009e+004,1.7604e+003,3.6003e+002,5.2005e+002,2.0001e+002,2.0001e+002,1.3204e+003,2.0001e+002,4.4004e+002,2.4001e+002,4.8005e+002,3.2002e+002,3.2002e+002,8.0013e+002,5.2005e+002,5.2005e+002,5.6006e+002,2.8002e+002,4.0003e+002,6.8009e+002,6.0007e+002
2021-01-06 07:15:00 PST,8.5581e+004,4.8449e+003,3.8421e+003,1.8355e+004,5.6657e+004,1.8805e+003,2.8002e+002,6.4008e+002,2.4001e+002,2.4001e+002,2.4012e+003,2.4001e+002,5.2005e+002,2.8002e+002,5.2005e+002,4.8005e+002,4.4004e+002,6.8009e+002,5.6006e+002,3.2002e+002,4.4004e+002,4.0003e+002,4.0003e+002,3.2002e+002,3.2002e+002
2021-01-06 07:30:00 PST,7.6458e+004,4.5638e+003,3.6820e+003,2.0158e+004,4.5732e+004,2.3208e+003,2.0001e+002,1.8807e+003,2.0001e+002,2.0001e+002,5.6006e+002,4.8005e+002,4.0003e+002,6.4008e+002,5.6006e+002,5.6006e+002,4.0003e+002,2.8002e+002,4.8005e+002,5.2005e+002,2.4001e+002,6.4008e+002,3.2002e+002,6.8009e+002,1.0002e+003
2021-01-06 07:45:00 PST,8.9872e+004,3.1214e+003,7.3278e+003,2.4862e+004,5.0396e+004,4.1627e+003,6.8009e+002,4.0003e+002,2.4001e+002,4.8005e+002,4.0003e+002,2.8002e+002,2.8002e+002,3.6003e+002,5.2005e+002,1.0802e+003,7.2011e+002,1.2003e+003,6.0007e+002,1.2003e+003,8.8016e+002,1.1203e+003,1.1203e+003,1.2403e+003,1.3604e+003
